foreignLemma	pos	a_m_nom_sg	a_m_gen_sg	a_m_acc_sg	a_f_nom_sg	a_f_gen_sg	a_f_acc_sg	a_n_nom_sg	a_n_gen_sg	a_n_acc_sg	a_m_nom_pl	a_m_gen_pl	a_m_acc_pl	a_f_nom_pl	a_f_gen_pl	a_f_acc_pl	a_n_nom_pl	a_n_gen_pl	a_n_acc_pl
μεγάλος	adjective													
ποιος	pronoun_interrogative	ποιος	ποιου	ποιο(ν)	ποια	ποιας	ποια	ποιο	ποιου	ποιο	ποιοι	ποιων	ποιους	ποιες	ποιων	ποιες	ποια	ποιων	ποια
πολύς	adjective	πολύς	πολλού	πολύ	πολλή	πολλής	πολλή	πολύ	πολλού	πολύ	πολλοί	πολλών	πολλούς	πολλές	πολλών	πολλές	πολλά	πολλών	πολλά
